[2026-04-27 19:34:26] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:28] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:28] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:29] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:29] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-27 19:34:29] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:30] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:30] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-27 19:34:30] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:31] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:31] DEBUG    retriever — retrieve: query='music' top_k=5 best_score=0.484
[2026-04-27 19:34:31] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:32] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:32] DEBUG    retriever — retrieve: query='upbeat energetic workout pop high energy' top_k=2 best_score=0.606
[2026-04-27 19:34:32] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-27 19:34:33] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-27 19:34:33] DEBUG    retriever — retrieve: query='calm relaxing ambient chill low energy study' top_k=2 best_score=0.309
[2026-04-28 18:57:46] INFO     explainer — Gemini disabled by caller — using fallback explanations.
[2026-04-28 18:57:46] INFO     explainer — Gemini disabled by caller — using fallback explanations.
[2026-04-28 18:57:46] INFO     explainer — Gemini disabled by caller — using fallback explanations.
[2026-04-28 18:57:46] WARNING  explainer — GEMINI_API_KEY not set — using fallback explanations. Add your key to a .env file or set it as an environment variable.
[2026-04-28 18:57:46] INFO     explainer — Gemini disabled by caller — using fallback explanations.
[2026-04-28 18:57:46] WARNING  explainer — Numbered parse yielded 2 parts, expected 3. Trying blank-line split.
[2026-04-28 18:57:46] WARNING  explainer — Could not reliably parse Gemini response; using partial results.
[2026-04-28 18:57:46] WARNING  explainer — Numbered parse yielded 4 parts, expected 3. Trying blank-line split.
[2026-04-28 18:57:46] WARNING  explainer — Could not reliably parse Gemini response; using partial results.
[2026-04-28 18:57:46] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:57:47] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:57:47] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:57:48] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:57:48] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-28 18:57:48] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:58:30] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:58:30] DEBUG    retriever — retrieve: query='upbeat pop workout' top_k=3 best_score=0.587
[2026-04-28 18:58:30] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:58:31] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:58:31] DEBUG    retriever — retrieve: query='music' top_k=5 best_score=0.484
[2026-04-28 18:58:31] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:58:32] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:58:32] DEBUG    retriever — retrieve: query='upbeat energetic workout pop high energy' top_k=2 best_score=0.606
[2026-04-28 18:58:32] DEBUG    retriever — Loading sentence-transformer model: all-MiniLM-L6-v2
[2026-04-28 18:58:33] INFO     retriever — SongRetriever: indexed 5 songs (embedding dim=384)
[2026-04-28 18:58:33] DEBUG    retriever — retrieve: query='calm relaxing ambient chill low energy study' top_k=2 best_score=0.309
[2026-04-28 19:12:41] INFO     evaluator — Loading catalog from C:\Users\AREEB\Desktop\AI Engineering\Music-Recommender-Simulation\data\songs.csv
[2026-04-28 19:12:41] INFO     evaluator — Loaded 18 songs — running 4 eval cases
[2026-04-28 19:12:41] DEBUG    evaluator — Evaluating case: 'upbeat workout'
[2026-04-28 19:12:41] DEBUG    evaluator — Evaluating case: 'chill study'
[2026-04-28 19:12:41] DEBUG    evaluator — Evaluating case: 'intense rock'
[2026-04-28 19:12:41] DEBUG    evaluator — Evaluating case: 'relaxed acoustic'
[2026-04-28 19:12:41] INFO     evaluator — All evaluation cases passed.
